"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NewHaiderPPO1widSliders.nlogo"
"Experiment"
"09/17/2025 12:52:46:003 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","num-investors","patch-mean-profit","patch-min-risk","patch-max-risk","decision-time-horizon","years-simulated","[step]","mean [wealth] of turtles","sum [wealth] of turtles","count turtles with [wealth < 100000]","mean [current-utility] of turtles","mean [profit] of patches","mean [annual-risk] of patches","count patches with [profit < 500]","count patches with [profit > 15000]"
"107","15","2000","0.01","0.2","3","50","50","864519.0745363912","1.2967786118045868E7","0","998618.014217327","9300.879531132568","0.07994941388236214","14","64"
"108","15","2000","0.01","0.2","3","50","50","1286790.6589982996","1.9301859884974495E7","0","1511679.3751411429","10841.13227691531","0.07193989183626823","23","82"
"109","15","2000","0.01","0.2","3","50","50","950018.3924007708","1.4250275886011561E7","0","942825.7373461027","9863.598693518928","0.07130017642576296","21","69"
"110","15","2000","0.01","0.2","3","50","50","1102458.5058974412","1.6536877588461617E7","0","1070877.3379257347","9381.445514000441","0.06982842698806917","24","70"
"111","15","2000","0.01","0.2","3","70","70","2819344.106892753","4.22901616033913E7","0","3553244.345700555","15892.943164706756","0.05723003494462082","9","115"
"112","15","2000","0.01","0.2","3","70","70","6397822.454158636","9.596733681237954E7","0","8050872.553798256","17625.168516951322","0.07606657874026407","13","116"
"113","15","2000","0.01","0.2","3","70","70","1417150.2882471317","2.1257254323706977E7","0","1621602.683258252","16352.487903451589","0.05756099951694169","10","118"
"114","15","2000","0.01","0.2","3","70","70","2669712.9814228467","4.00456947213427E7","0","3178026.985136651","17788.811617187373","0.06026402574034412","13","125"
"115","15","2000","0.01","0.2","3","70","70","2569201.603134726","3.853802404702089E7","0","3033648.238423093","16310.060689870508","0.06063880100440152","4","124"
"116","15","2000","0.01","0.2","3","70","70","1625423.1486943944","2.4381347230415914E7","0","1696130.2871283242","16503.938878762598","0.05479035899652418","8","130"
"117","15","2000","0.01","0.2","3","70","70","2354243.7392958654","3.5313656089437984E7","0","2780338.694770676","17666.399365910358","0.052758922540574474","6","124"
"118","15","2000","0.01","0.2","3","70","70","2116138.95582909","3.174208433743635E7","0","2466465.6808971674","18113.82052213689","0.06150656942719228","11","145"
"119","15","2000","0.01","0.2","3","70","70","3755575.1748521705","5.633362762278256E7","0","4676610.307765346","18189.053810470217","0.06537484877908928","5","128"
"120","15","2000","0.01","0.2","3","70","70","3072747.283293923","4.609120924940884E7","0","3529194.897550347","19077.611879981756","0.06713397479364017","11","131"
"121","15","2000","0.01","0.2","6","25","25","304680.2249023974","4570203.373535961","0","448625.1430657687","4642.666106467579","0.09324598119655951","32","15"
"122","15","2000","0.01","0.2","6","25","25","286128.359903996","4291925.39855994","0","270476.91491251474","4706.395526047701","0.09825397970337801","30","16"
"123","15","2000","0.01","0.2","6","25","25","310560.22682621604","4658403.4023932405","0","442791.5207805184","4356.1739821718","0.09232724575632573","46","16"
"124","15","2000","0.01","0.2","6","25","25","322096.53464535385","4831448.019680308","0","433422.0728411802","4584.070515161587","0.09775752919858516","36","17"
"125","15","2000","0.01","0.2","6","25","25","231636.4071118911","3474546.1066783667","0","305209.7048180353","4581.451688058234","0.0982704925536879","35","14"
"126","15","2000","0.01","0.2","6","25","25","513885.67032123625","7708285.054818544","0","720603.694843614","4709.490075194186","0.10033596696781137","38","18"
"127","15","2000","0.01","0.2","6","25","25","203402.48687925652","3051037.303188848","0","178479.83022542967","4464.422740506438","0.09342616382203764","43","19"
"128","15","2000","0.01","0.2","6","25","25","316994.4767339312","4754917.151008968","0","286738.8810387852","4437.624027596041","0.09070530871073156","50","13"
"129","15","2000","0.01","0.2","6","25","25","375659.8037631571","5634897.056447357","0","343745.3256912957","4730.258538464139","0.09813857913983826","32","22"
"130","15","2000","0.01","0.2","6","25","25","242614.97453420106","3639224.618013016","0","307150.55630613666","4228.217406964212","0.09814521310529346","49","13"
"131","15","2000","0.01","0.2","6","50","50","939691.2333131378","1.4095368499697067E7","0","1356810.9486503215","9427.050787804113","0.07085751744800786","19","63"
"132","15","2000","0.01","0.2","6","50","50","1242900.765014864","1.864351147522296E7","0","1420660.1828145275","9494.45313118538","0.07563349438119825","18","64"
"133","15","2000","0.01","0.2","6","50","50","1234479.4430262507","1.851719164539376E7","0","1115245.6893095875","10402.716991195528","0.06768332840508152","11","67"
"134","15","2000","0.01","0.2","6","50","50","1670768.0438471446","2.506152065770717E7","0","1848702.605076004","8912.304958487499","0.08096573061705604","17","71"
"135","15","2000","0.01","0.2","6","50","50","1899401.0304403792","2.8491015456605688E7","0","2726195.36149105","9807.450127479817","0.08799676299461935","25","64"
"136","15","2000","0.01","0.2","6","50","50","1452348.852153812","2.178523278230718E7","0","1696678.3571886825","9968.330976088984","0.09124307015347044","17","67"
"137","15","2000","0.01","0.2","6","50","50","994919.7346060446","1.492379601909067E7","0","1363667.8129028862","9537.11628955041","0.07303491500320204","18","74"
"138","15","2000","0.01","0.2","6","50","50","1164957.7729871303","1.7474366594806954E7","0","1199639.6931957665","8895.813681073592","0.06896292961593725","13","61"
"139","15","2000","0.01","0.2","6","50","50","987946.5096424264","1.4819197644636396E7","0","1291921.5508800275","10042.646479006919","0.07615647550565247","23","67"
"140","15","2000","0.01","0.2","6","50","50","1679681.6030028088","2.519522404504213E7","0","1478434.246924127","10350.759324633866","0.0762348026108208","19","80"
"141","15","2000","0.01","0.2","6","70","70","1672291.2439260716","2.5084368658891074E7","0","1616024.8495061756","16789.563926877956","0.0658403718003266","6","114"
"142","15","2000","0.01","0.2","6","70","70","3157428.579029428","4.736142868544142E7","0","3656546.844597314","18674.870852355594","0.05672505563498471","8","132"
"143","15","2000","0.01","0.2","6","70","70","2963666.9901107205","4.445500485166081E7","0","2853502.2612521816","17446.529926828993","0.06588831496900542","7","129"
"144","15","2000","0.01","0.2","6","70","70","4693000.026208753","7.039500039313129E7","0","6801102.622212237","17884.420054243878","0.06918215574122331","2","113"
"145","15","2000","0.01","0.2","6","70","70","2030982.7605146144","3.0464741407719217E7","0","2683025.72056227","16660.327641430493","0.06019327420031232","9","140"
"146","15","2000","0.01","0.2","6","70","70","1748281.492183815","2.6224222382757224E7","0","2334781.588075329","17536.092080983144","0.06412175379964918","10","139"
"147","15","2000","0.01","0.2","6","70","70","2368829.358311764","3.553244037467646E7","0","2637607.0292661325","17742.5634099749","0.06497711242585381","6","117"
"148","15","2000","0.01","0.2","6","70","70","2249479.11590661","3.374218673859915E7","0","2723373.468550128","16114.771655487395","0.06109115641671842","12","118"
"149","15","2000","0.01","0.2","6","70","70","2776888.543032465","4.165332814548697E7","0","3866655.1877889265","17884.882326939754","0.06928241665053776","11","129"
"150","15","2000","0.01","0.2","6","70","70","2403207.8981567877","3.604811847235182E7","0","2914000.394152412","18688.636671045166","0.06625564433945887","12","126"
"151","15","2000","0.01","0.2","8","25","25","314360.16858692485","4715402.528803873","0","525047.7512768565","4710.535479599176","0.09595470833088969","46","21"
"152","15","2000","0.01","0.2","8","25","25","373203.4588934301","5598051.883401452","0","590104.8491863471","5032.926642215244","0.09484898622330377","40","26"
"153","15","2000","0.01","0.2","8","25","25","258126.23083617914","3871893.462542687","0","299747.18409958953","4620.641962517708","0.0924712162591307","48","17"
"154","15","2000","0.01","0.2","8","25","25","349059.124425219","5235886.866378285","0","368928.28821951925","5043.812201967889","0.09222693710239083","34","24"
"155","15","2000","0.01","0.2","8","25","25","370061.1229103813","5550916.843655719","0","591323.9247396907","4999.128917072806","0.08735038385230494","38","19"
"156","15","2000","0.01","0.2","8","25","25","239517.98696567942","3592769.804485191","0","203499.49694257748","4376.761399291565","0.08961244847764854","42","17"
"157","15","2000","0.01","0.2","8","25","25","271829.5238481095","4077442.8577216417","0","315488.32416415017","4827.860946529904","0.09813044288621606","39","19"
"158","15","2000","0.01","0.2","8","25","25","325712.413665587","4885686.204983805","0","307653.5928353381","5172.265599814768","0.09797787148542884","39","22"
"159","15","2000","0.01","0.2","8","25","25","319772.9650419991","4796594.475629987","0","308721.52465457376","4542.383083852119","0.0943923822229281","48","24"
"160","15","2000","0.01","0.2","8","25","25","321268.4350103046","4819026.525154569","0","275145.82684526255","4517.515130536581","0.09180223668504156","47","22"
"161","15","2000","0.01","0.2","8","50","50","1098330.288555721","1.6474954328335814E7","0","1561391.4111940055","9601.171633492126","0.08028146958362874","20","73"
"162","15","2000","0.01","0.2","8","50","50","1116423.9524644318","1.6746359286966477E7","0","1500257.1323133635","10465.991631631401","0.07695600720171125","15","90"
"163","15","2000","0.01","0.2","8","50","50","685717.1216929294","1.0285756825393941E7","0","622153.7114679291","8862.051524348297","0.06959391280647663","19","56"
"164","15","2000","0.01","0.2","8","50","50","2013492.2703169629","3.0202384054754443E7","0","3037657.4152620235","11101.325772153416","0.08025893598859302","15","75"
"165","15","2000","0.01","0.2","8","50","50","1267787.9205388324","1.9016818808082487E7","0","1929875.2457526522","10557.513779716264","0.07751548283691045","15","85"
"166","15","2000","0.01","0.2","8","50","50","986140.360579103","1.4792105408686545E7","0","862436.8251626979","9892.477964899115","0.07274933844524782","19","69"
"167","15","2000","0.01","0.2","8","50","50","999706.9893614234","1.499560484042135E7","0","1551190.1065363365","9552.709166261826","0.07845266239063357","26","78"
"168","15","2000","0.01","0.2","8","50","50","960217.5775270686","1.4403263662906028E7","0","870874.0547857899","8872.259038240925","0.07760826648041591","14","62"
"169","15","2000","0.01","0.2","8","50","50","1299237.4789087786","1.948856218363168E7","0","1938921.511126466","10806.172337884036","0.07870728784137249","22","79"
"170","15","2000","0.01","0.2","8","50","50","1554340.4445672778","2.3315106668509167E7","0","1483885.3504648993","9320.12580990079","0.08170213381179894","22","64"
"171","15","2000","0.01","0.2","8","70","70","1687480.5336631874","2.531220800494781E7","0","1814767.1352610663","16322.980090116334","0.05887300096064961","8","122"
"172","15","2000","0.01","0.2","8","70","70","1692407.3100025316","2.5386109650037974E7","0","1658422.5224965166","17072.842095594286","0.05670634425188776","8","122"
"173","15","2000","0.01","0.2","8","70","70","4020268.6963546546","6.030403044531982E7","0","4796633.405664005","17875.850124047975","0.05997758266025321","7","130"
"174","15","2000","0.01","0.2","8","70","70","3640147.129815633","5.46022069472345E7","0","5351202.604571162","17600.033074462375","0.06345132998693766","4","136"
"175","15","2000","0.01","0.2","8","70","70","2231045.124850777","3.3465676872761652E7","0","2251030.607101122","17817.15462897037","0.06073432882575688","6","144"
"176","15","2000","0.01","0.2","8","70","70","2514737.030523675","3.772105545785513E7","0","2420315.826706772","15819.422816760554","0.06745650243220812","8","113"
"177","15","2000","0.01","0.2","8","70","70","1920523.7921955353","2.8807856882933028E7","0","3004906.216890172","16133.402014966417","0.061633505462567184","5","126"
"178","15","2000","0.01","0.2","8","70","70","4622146.733728334","6.933220100592501E7","0","7006388.140400695","16811.0274737946","0.06990644355890693","7","132"
"179","15","2000","0.01","0.2","8","70","70","2065355.4937124155","3.0980332405686233E7","0","3126365.3527687076","17377.892445257967","0.05947845786370323","6","136"
"180","15","2000","0.01","0.2","8","70","70","3906742.879570128","5.860114319355192E7","0","5286197.220846627","17506.64759329266","0.060074782858792704","9","138"
"181","15","2000","0.01","0.3","3","25","25","410342.934234513","6155144.0135176955","0","494538.2960874209","4873.037620460133","0.15668006516756033","44","18"
"182","15","2000","0.01","0.3","3","25","25","364258.87455439556","5463883.118315933","0","458064.94111190335","4232.898524767286","0.14327761934209798","42","11"
